program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,determiner,det_cat,head_noun,noun_cat
180997-1,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 17 00:00:00 2004,David Dreier,R,California,U.S. Representative,the,DT,republican,NNP
181038-1,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,democrats,NNPS
181038-1,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,republicans,NNPS
181038-1,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,republicans,NNPS
182437-1,House Proceeding,"Washington, District of Columbia, United States",Fri Jun 25 00:00:00 2004,David Dreier,R,California,U.S. Representative,NULL,NULL,democrats,NNPS
182437-1,House Proceeding,"Washington, District of Columbia, United States",Fri Jun 25 00:00:00 2004,David Dreier,R,California,U.S. Representative,NULL,NULL,republicans,NNPS
182437-1,House Proceeding,"Washington, District of Columbia, United States",Fri Jun 25 00:00:00 2004,David Dreier,R,California,U.S. Representative,NULL,NULL,democrats,NNPS
182437-1,House Proceeding,"Washington, District of Columbia, United States",Fri Jun 25 00:00:00 2004,David Dreier,R,California,U.S. Representative,the,DT,democrats,NNPS
180902-2,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 10 00:00:00 2004,Peter A. DeFazio,D,Oregon,U.S. Representative,NULL,NULL,republican,NNP
180902-2,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 10 00:00:00 2004,Peter A. DeFazio,D,Oregon,U.S. Representative,NULL,NULL,democrat,NNP
180902-2,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 10 00:00:00 2004,Peter A. DeFazio,D,Oregon,U.S. Representative,NULL,NULL,republican,JJ
180902-2,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 10 00:00:00 2004,Peter A. DeFazio,D,Oregon,U.S. Representative,the,DT,republican,JJ
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,NULL,NULL,republican,JJ
180916-1,House Proceeding,"Washington, District of Columbia, United States",Thu Mar 11 00:00:00 2004,Steve Pearce,R,New Mexico,U.S. Representative,the,DT,democrats,NNPS
